year,closed_date,city,state,zip_code,subdivision,property_type,year_built,bedrooms,baths_total,acres,sale_price,original_list_price,sale_to_list_pct,total_square_feet,price_per_sqft,days_on_market,tax_amount_annual,assessment_pending,specials_debt_balance,yearly_specials_installment,requires_shoreline_audit,seller_contribution,state_tax_strategy,grant_stack_eligible,equity_protection_score
2026,2026-01-15,Moorhead,MN,56560,Mallard Creek 3rd Add,Residential,2006,4,3.00,0.15,312500,322000,97.0,2006,155.78,54,3184.00,No,0.0,0.0,FALSE,0,Homestead Tax Shield Eligible / Lower Specials,High Potential,10.0
2026,2026-01-23,West Fargo,ND,58078,Sheyenne Park Third Add,Residential,1993,4,2.00,0.15,297000,299000,99.3,1884,157.64,43,3028.00,No,3718.0,333.0,FALSE,3000,Low Income Tax / Higher Specials Risk,High Potential,8.7
2026,2026-03-02,Fargo,ND,58104,Valley View Estates 2nd Add,Residential,2022,3,2.00,0.09,337000,345000,97.7,2116,159.26,108,4000.88,Yes,27885.0,2124.72,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,1.7
2026,2026-02-12,West Fargo,ND,58078,The Wilds 3rd Add,Residential,2025,5,4.00,0.28,1289394,1299900,99.2,4810,268.07,73,4973.00,No,37056.0,3854.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,7.1
2026,2026-01-29,Sabin,MN,56580,,Residential,1993,4,3.00,8.99,475000,499999,95.0,2778,170.99,66,3895.00,No,0.0,61.92,FALSE,9000,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,10.0
2026,2026-03-06,Fargo,ND,58102,Ohmers,Residential,1957,6,3.00,0.17,270000,274900,98.2,3240,83.33,107,3956.00,No,3740.0,424.0,FALSE,10000,Low Income Tax / Higher Specials Risk,High Potential,8.6
2026,2026-01-12,Fargo,ND,58104,Legacy I First Add,Residential,2002,4,2.00,0.12,258000,259900,99.3,1834,140.68,48,2647.00,No,357.74,51.37,FALSE,8000,Low Income Tax / Higher Specials Risk,High Potential,9.9
2026,2026-02-09,Fargo,ND,58102,Ohmers,Residential,1950,4,2.00,0.23,244900,254900,96.1,1936,126.5,55,680.00,Yes,3817.8,584.78,FALSE,3000,Low Income Tax / Higher Specials Risk,High Potential,8.4
2026,2026-02-20,Fargo,ND,58104,Woodhaven Fourth Add,Residential,2005,6,4.00,0.50,650000,680000,95.6,4248,153.01,98,10347.00,No,10891.0,2219.0,FALSE,5000,Low Income Tax / Higher Specials Risk,Above Threshold,8.3
2026,2026-01-29,Moorhead,MN,56560,Horizon Shores 2nd Add,Residential,2010,5,4.00,,775000,775000,100.0,4668,166.02,52,9944.00,Yes,2983.92,2220.3,TRUE,19937,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,9.6
2026,2026-01-16,Dilworth,MN,56529,Lymans 2nd & Rearrange,Residential,1910,4,2.00,0.13,210900,225000,93.7,2122,99.39,72,2127.00,No,0.0,0.0,FALSE,4800,Homestead Tax Shield Eligible / Lower Specials,High Potential,10.0
2026,2026-01-09,Fargo,ND,58103,Westfield 1st Add,Residential,1996,3,2.00,,252000,268900,93.7,1680,150.0,54,1979.00,No,1131.4,395.23,FALSE,7560,Low Income Tax / Higher Specials Risk,High Potential,9.6
2026,2026-03-13,West Fargo,ND,58078,Riverside,Residential,1974,4,2.00,0.21,283239,284900,99.4,2112,134.11,118,2900.00,No,0.0,356.59,FALSE,2000,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-01-23,Fargo,ND,58104,Bison Meadows Second Add,Residential,2021,4,2.00,,334900,354900,94.4,2183,153.41,53,1726.22,Yes,19517.141,1477.19,FALSE,3000,Low Income Tax / Higher Specials Risk,High Potential,4.2
2026,2026-02-06,Fargo,ND,58104,Madelyns Meadows 4th Add To Fargo,Residential,2023,2,2.00,0.17,345000,359900,95.9,1511,228.33,69,2980.32,Yes,25476.881,1604.86,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,2.6
